# index, _pos
158,"array([1.7255229 , 3.03302767])"
159,"array([1.75399946, 3.03803227])"
160,"array([1.96304027, 3.12761559])"
161,"array([1.7108088 , 3.01730377])"
162,"array([1.72264951, 3.00362866])"
163,"array([1.71674968, 3.03264742])"
164,"array([1.73103984, 3.01431581])"
165,"array([1.73219679, 2.99138162])"
166,"array([1.68903183, 3.02293435])"
167,"array([1.54145426, 2.98439372])"
168,"array([1.72761545, 2.99863675])"
169,"array([1.64628655, 2.96665168])"
170,"array([1.70908762, 2.9764136 ])"
171,"array([1.7409206 , 2.95284939])"
172,"array([1.84524014, 3.0339139 ])"
173,"array([1.59601622, 2.96089697])"
174,"array([1.33314191, 2.89015109])"
175,"array([1.80301043, 2.99224778])"
176,"array([1.55499831, 2.9265212 ])"
177,"array([1.57013452, 2.95142794])"
178,"array([1.33482593, 2.8569197 ])"
179,"array([1.39085781, 2.95924014])"
180,"array([1.51948712, 3.0057841 ])"
181,"array([1.38229202, 3.0197164 ])"
182,"array([1.36340528, 3.03096752])"
183,"array([1.30788279, 3.04542966])"
184,"array([1.5235294 , 3.00332854])"
185,"array([1.40810057, 2.95766269])"
186,"array([1.6359298 , 2.95203797])"
187,"array([1.58890053, 2.92972068])"
188,"array([1.50080161, 3.01818451])"
189,"array([1.71028738, 2.91293115])"
190,"array([1.67960592, 2.92744712])"
191,"array([1.74213798, 2.944536  ])"
192,"array([1.78058744, 2.96812392])"
193,"array([1.74766196, 2.95024149])"
194,"array([1.86444941, 2.98710606])"
195,"array([1.76437469, 2.94243763])"
196,"array([1.86562047, 2.99525259])"
197,"array([1.77274924, 2.94383691])"
198,"array([1.76936564, 2.9518437 ])"
199,"array([1.7243751 , 2.90758773])"
200,"array([1.79369214, 2.95868798])"
201,"array([1.76515801, 2.95947853])"
202,"array([1.76938111, 2.96514049])"
203,"array([1.76830966, 2.97470588])"
204,"array([1.70467651, 2.95700388])"
205,"array([1.77581769, 2.96312547])"
206,"array([1.78308209, 2.96125096])"
207,"array([1.77683269, 2.95516451])"
208,"array([1.79066354, 2.94856362])"
209,"array([1.35814038, 2.88285504])"
210,"array([1.92929014, 3.01529057])"
211,"array([1.83150069, 2.97337161])"
212,"array([1.78505618, 2.95347748])"
213,"array([1.8190696 , 2.95061863])"
214,"array([1.77468835, 2.97188309])"
215,"array([1.79235285, 2.96677453])"
216,"array([1.82486502, 2.9262318 ])"
217,"array([1.80015354, 2.97700266])"
218,"array([1.80349751, 2.98275825])"
219,"array([1.71649478, 2.9254481 ])"
220,"array([1.77735472, 2.98747114])"
221,"array([1.81288767, 2.96727853])"
222,"array([1.68667549, 2.89274826])"
223,"array([1.78267739, 2.93419708])"
224,"array([1.76994545, 2.90495112])"
225,"array([1.69298713, 2.87935029])"
226,"array([1.69013583, 2.88810419])"
227,"array([1.94708132, 3.04014426])"
228,"array([1.94625842, 3.05205724])"
229,"array([1.59545034, 2.88090574])"
230,"array([1.66454566, 2.94200352])"
231,"array([1.94327903, 3.07687038])"
232,"array([1.94006617, 3.09020618])"
233,"array([1.71816256, 2.97503985])"
234,"array([1.62425394, 2.93134884])"
235,"array([1.57462825, 3.01848675])"
236,"array([1.5350094, 2.807241 ])"
237,"array([1.71739977, 2.98867594])"
238,"array([1.65245679, 2.93613881])"
239,"array([1.67454957, 2.91588637])"
240,"array([1.80786701, 2.94361666])"
241,"array([1.82362935, 2.97977222])"
242,"array([1.87530662, 2.94164521])"
243,"array([1.81647036, 2.95882959])"
244,"array([1.30698958, 2.64799868])"
245,"array([1.73472396, 2.95246256])"
